iter	RMSE
0	14.68001009
1	14.31090941
2	13.93887583
3	13.59290436
4	13.25745163
5	12.94744166
6	12.6530365
7	12.38958944
8	12.09654959
9	11.82457081
10	11.55151192
11	11.30101488
12	11.05317968
13	10.80008097
14	10.56463515
15	10.32920171
16	10.11158575
17	9.923850023
18	9.731778402
19	9.551887769
20	9.375685686
21	9.196324183
22	9.042422997
23	8.903879586
24	8.744998069
25	8.593300707
26	8.454620979
27	8.33129872
28	8.195941999
29	8.073693355
30	7.970445697
31	7.866224264
32	7.760159528
33	7.652988655
34	7.55417864
35	7.45937973
36	7.372736395
37	7.279461614
38	7.204593099
39	7.13068881
40	7.062887061
41	6.988196934
42	6.918190817
43	6.854143243
44	6.789695347
45	6.725072635
46	6.654961635
47	6.595622785
48	6.54259691
49	6.488865181
50	6.441996888
51	6.391738682
52	6.348033274
53	6.311776587
54	6.267740241
55	6.223123123
56	6.185372055
57	6.149602508
58	6.105279784
59	6.07167916
60	6.038626195
61	6.005367767
62	5.972880499
63	5.94624343
64	5.913157695
65	5.880115923
66	5.853193806
67	5.82904487
68	5.802237951
69	5.777968933
70	5.751934213
71	5.726678644
72	5.706744693
73	5.684356502
74	5.662365088
75	5.639651371
76	5.622392772
77	5.605883855
78	5.597836169
79	5.579186781
80	5.560956143
81	5.548623871
82	5.531348118
83	5.515420118
84	5.497361827
85	5.485169102
86	5.470836897
87	5.454208332
88	5.443017131
89	5.427556023
90	5.416430864
91	5.40749197
92	5.396211214
93	5.386516603
94	5.376753931
95	5.364684052
96	5.352897394
97	5.342954394
98	5.331867728
99	5.321525705
100	5.310078989
101	5.297319051
102	5.290033381
103	5.27983595
104	5.268632196
105	5.259971594
106	5.25142182
107	5.245471716
108	5.23857309
109	5.228750039
110	5.22072702
111	5.212837739
112	5.207488192
113	5.20261494
114	5.198082531
115	5.192011272
116	5.183760928
117	5.175003936
118	5.168606045
119	5.161580342
120	5.154818024
121	5.145857509
122	5.137394048
123	5.13090087
124	5.127157022
125	5.118518102
126	5.109831109
127	5.10340803
128	5.098182927
129	5.093431496
130	5.088532818
131	5.085807373
132	5.078712901
133	5.073582536
134	5.06510324
135	5.062977787
136	5.058843388
137	5.053741148
138	5.048859662
139	5.044258952
140	5.039724851
141	5.035966709
142	5.030953265
143	5.024500858
144	5.01801345
145	5.014607754
146	5.01221058
147	5.007898158
148	5.002328313
149	4.995694622
150	4.991934768
151	4.987573473
152	4.981128165
153	4.976274811
154	4.97462751
155	4.972194058
156	4.966813448
157	4.960357349
158	4.951880953
159	4.943500162
160	4.938996649
161	4.931644308
162	4.926844777
163	4.923858266
164	4.922428611
165	4.919379065
166	4.913633681
167	4.907006
168	4.902111443
169	4.895572303
170	4.891882014
171	4.885139094
172	4.881492699
173	4.877667664
174	4.871145622
175	4.863480478
176	4.856294003
177	4.85330901
178	4.851189351
179	4.845238571
180	4.840448734
181	4.836058456
182	4.827799321
183	4.823920866
184	4.818946148
185	4.814827624
186	4.80960953
187	4.800618176
188	4.796035153
189	4.793301576
190	4.789136856
191	4.786582755
192	4.779382061
193	4.773071253
194	4.771045141
195	4.767297228
196	4.76403479
197	4.758509541
198	4.755006667
199	4.753044858
200	4.750291362
201	4.747833804
202	4.745114738
203	4.74151239
204	4.737978944
205	4.73504453
206	4.732006276
207	4.725390421
208	4.724148534
209	4.716977343
210	4.71502379
211	4.71157313
212	4.708545837
213	4.704216365
214	4.702287731
215	4.696530932
216	4.692749739
217	4.687621958
218	4.684569662
219	4.679154295
220	4.676145023
221	4.67095093
222	4.666598188
223	4.661196001
224	4.658896626
225	4.655564127
226	4.653402936
227	4.651007299
228	4.648291158
229	4.645416896
230	4.641334141
231	4.637458356
232	4.635229005
233	4.633576655
234	4.630364019
235	4.629030756
236	4.625385787
237	4.621227609
238	4.616214141
239	4.610735545
240	4.607235514
241	4.602481264
242	4.600519091
243	4.598668862
244	4.59543733
245	4.590304877
246	4.58835993
247	4.582105436
248	4.58035859
249	4.575768288
250	4.572186197
251	4.56942909
252	4.564551415
253	4.561905609
254	4.556880681
255	4.556475471
256	4.549784602
257	4.546163964
258	4.542542896
259	4.539254786
260	4.53513499
261	4.530406804
262	4.524302666
263	4.520223627
264	4.51623173
265	4.512919062
266	4.506018265
267	4.503978264
268	4.496165426
269	4.493635809
270	4.490180577
271	4.48944624
272	4.486803524
273	4.48388743
274	4.478358524
275	4.47101886
276	4.468202707
277	4.464349376
278	4.460384978
279	4.455216153
280	4.452000005
281	4.449547584
282	4.445596789
283	4.44116675
284	4.43729954
285	4.433395367
286	4.42837019
287	4.426786145
288	4.422145185
289	4.419156063
290	4.417912716
291	4.413801427
292	4.410744266
293	4.407668783
294	4.404752833
295	4.402281583
296	4.395657803
297	4.390852143
298	4.384920633
299	4.379718968
300	4.377569503
301	4.374192184
302	4.373513369
303	4.368246914
304	4.367006123
305	4.364688862
306	4.360011426
307	4.354428643
308	4.350120595
309	4.342760134
310	4.338969556
311	4.333903135
312	4.328922325
313	4.322769731
314	4.319688755
315	4.319507742
316	4.316824742
317	4.313409554
318	4.310589184
319	4.306923349
320	4.305141724
321	4.300195914
322	4.2978424
323	4.290328693
324	4.288308244
325	4.283386522
326	4.281174588
327	4.277188573
328	4.271423451
329	4.270484586
330	4.267633134
331	4.267377211
332	4.262745534
333	4.259445519
334	4.256961835
335	4.251370316
336	4.248161824
337	4.24458218
338	4.243344222
339	4.243083302
340	4.239090052
341	4.236566887
342	4.235695185
343	4.229806238
344	4.2260897
345	4.221449545
346	4.218779927
347	4.215887326
348	4.213346593
349	4.211769369
350	4.206541747
351	4.203738578
352	4.197715023
353	4.195743194
354	4.193942758
355	4.192863389
356	4.189790533
357	4.189543011
358	4.184189845
359	4.181882675
360	4.180141115
361	4.179450528
362	4.177101075
363	4.173536002
364	4.169529191
365	4.164404102
366	4.162239565
367	4.156609849
368	4.152936143
369	4.14976994
370	4.147841663
371	4.143891317
372	4.140210433
373	4.137514849
374	4.133488703
375	4.131814167
376	4.128990304
377	4.125757974
378	4.120061888
379	4.115138096
380	4.114826337
381	4.110714462
382	4.107930963
383	4.10767153
384	4.103906807
385	4.102805525
386	4.099300015
387	4.098098013
388	4.095147869
389	4.09340863
390	4.087642134
391	4.085273743
392	4.083267718
393	4.081752606
394	4.079852745
395	4.078138181
396	4.07526701
397	4.073816305
398	4.071442952
399	4.068552365
400	4.068043909
401	4.066166678
402	4.063964064
403	4.060009033
404	4.056844066
405	4.05548783
406	4.05462662
407	4.052126398
408	4.049664132
409	4.045769694
410	4.042366937
411	4.042153772
412	4.038282777
413	4.03807494
414	4.03488756
415	4.033508954
416	4.032010031
417	4.030490704
418	4.025142332
419	4.024213036
420	4.02039959
421	4.01634236
422	4.014373732
423	4.011572959
424	4.008871174
425	4.005470486
426	4.005067531
427	4.003452722
428	4.000354624
429	3.999085166
430	3.99427257
431	3.988087674
432	3.987360594
433	3.983250548
434	3.982998507
435	3.978920621
436	3.976387836
437	3.971307484
438	3.967574986
439	3.963978359
440	3.961930268
441	3.961329355
442	3.959517557
443	3.956025527
444	3.953347224
445	3.95020761
446	3.944941749
447	3.940969103
448	3.939925532
449	3.93728689
450	3.935344439
451	3.932105036
452	3.928292113
453	3.924724401
454	3.922157895
455	3.921994434
456	3.921639971
457	3.917338113
458	3.915052297
459	3.914604175
460	3.912651224
461	3.911541875
462	3.907844673
463	3.907316573
464	3.905675575
465	3.900572146
466	3.896096782
467	3.891436415
468	3.88989619
469	3.887666915
470	3.884977767
471	3.883297085
472	3.88221055
473	3.878258548
474	3.87665728
475	3.873380952
476	3.870291908
477	3.867411292
478	3.865491205
479	3.864249202
480	3.863092369
481	3.859011939
482	3.858598712
483	3.855045669
484	3.852084548
485	3.849348671
486	3.849089746
487	3.846277613
488	3.845275479
489	3.844721575
490	3.84228071
491	3.841486241
492	3.839088884
493	3.83576585
494	3.834291802
495	3.829355081
496	3.8253558
497	3.82143112
498	3.818365731
499	3.817554014
500	3.814486728
501	3.814301955
502	3.808706277
503	3.806789827
504	3.802656438
505	3.798287428
506	3.793837222
507	3.792985063
508	3.789025121
509	3.787256666
510	3.785270527
511	3.781238194
512	3.777284059
513	3.774605639
514	3.77414996
515	3.772201034
516	3.770531552
517	3.769365953
518	3.764556217
519	3.761699209
520	3.759786583
521	3.757689209
522	3.754251397
523	3.753707725
524	3.751944191
525	3.751364131
526	3.748322482
527	3.743844437
528	3.742491419
529	3.739396396
530	3.739081814
531	3.736926239
532	3.733575773
533	3.731445487
534	3.729639348
535	3.728826815
536	3.72541587
537	3.723708684
538	3.721179021
539	3.720465253
540	3.716919604
541	3.712024703
542	3.710866368
543	3.707289833
544	3.706244877
545	3.702795099
546	3.698709819
547	3.695630869
548	3.694924769
549	3.694791598
550	3.694306074
551	3.692118953
552	3.688725604
553	3.684247157
554	3.683060153
555	3.681640575
556	3.678321239
557	3.676368402
558	3.672772144
559	3.67109894
560	3.670366746
561	3.669830414
562	3.668223331
563	3.667193651
564	3.665543059
565	3.662636036
566	3.662509265
567	3.659476917
568	3.655427154
569	3.652571687
570	3.650455868
571	3.649903559
572	3.64793507
573	3.646274104
574	3.644295053
575	3.642789382
576	3.641491474
577	3.639836999
578	3.637620559
579	3.635858803
580	3.634462892
581	3.633560061
582	3.63123323
583	3.627554668
584	3.625027413
585	3.622886555
586	3.619050854
587	3.618201626
588	3.616351435
589	3.614124131
590	3.609925862
591	3.608788644
592	3.608205412
593	3.606491672
594	3.602032029
595	3.600774267
596	3.599918686
597	3.597124792
598	3.593978034
599	3.593820653
600	3.591405203
601	3.590427649
602	3.587033773
603	3.584803033
604	3.581201463
605	3.578467938
606	3.57633271
607	3.571685671
608	3.569457792
609	3.565535225
610	3.562147232
611	3.561720737
612	3.561665656
613	3.558412581
614	3.557364396
615	3.554991772
616	3.552391646
617	3.54804577
618	3.546471829
619	3.543658035
620	3.543521593
621	3.541336164
622	3.538372882
623	3.537693573
624	3.535471777
625	3.532688289
626	3.532161928
627	3.531082432
628	3.529816349
629	3.526759088
630	3.524653858
631	3.521172343
632	3.518571406
633	3.515667443
634	3.514942453
635	3.512864823
636	3.509784338
637	3.506052193
638	3.505879486
639	3.503690788
640	3.500387259
641	3.499785742
642	3.499712721
643	3.49875437
644	3.497118561
645	3.496996058
646	3.494719762
647	3.493016817
648	3.490905881
649	3.489907298
650	3.489252496
651	3.485994664
652	3.484871332
653	3.482063545
654	3.480053908
655	3.478202639
656	3.476893652
657	3.473540348
658	3.473184806
659	3.472403018
660	3.471450434
661	3.4700206
662	3.467329541
663	3.465979706
664	3.465294172
665	3.461682369
666	3.460895408
667	3.460391287
668	3.457688731
669	3.455953015
670	3.454914392
671	3.452943443
672	3.452229467
673	3.449912393
674	3.448591718
675	3.446956574
676	3.444484661
677	3.443711617
678	3.44128988
679	3.437031706
680	3.434229699
681	3.431351928
682	3.428794258
683	3.426746301
684	3.425653465
685	3.424370125
686	3.421462658
687	3.418779395
688	3.417532105
689	3.415441877
690	3.413407842
691	3.411617428
692	3.409170916
693	3.406711958
694	3.403825274
695	3.402881415
696	3.402066262
697	3.401888676
698	3.400740052
699	3.398657944
700	3.396856534
701	3.393382466
702	3.390351003
703	3.389035775
704	3.388764057
705	3.388716503
706	3.387727814
707	3.385098003
708	3.384999937
709	3.383161336
710	3.382040346
711	3.38062986
712	3.378975897
713	3.378929333
714	3.376703586
715	3.374277057
716	3.374030421
717	3.371705368
718	3.370760786
719	3.369611492
720	3.368603799
721	3.368037852
722	3.366125317
723	3.364458645
724	3.363507346
725	3.362473662
726	3.361549159
727	3.361443534
728	3.360669961
729	3.35816274
730	3.356255073
731	3.355623806
732	3.35289937
733	3.350560539
734	3.347704992
735	3.344959247
736	3.341356167
737	3.338545319
738	3.337367569
739	3.334598851
740	3.333303932
741	3.331480105
742	3.331396678
743	3.330194615
744	3.327843926
745	3.325753266
746	3.323120796
747	3.320608025
748	3.320497599
749	3.319174746
750	3.317897841
751	3.317839638
752	3.315222688
753	3.312610093
754	3.310460844
755	3.309652304
756	3.308618508
757	3.306317365
758	3.303552587
759	3.303096266
760	3.302256697
761	3.301566754
762	3.299028969
763	3.29825752
764	3.296545376
765	3.294031605
766	3.292838685
767	3.291350621
768	3.289439138
769	3.28830046
