iter	Passed	Remaining
0	59	59525
1	59	29886
2	60	20066
3	60	15111
4	60	12125
5	61	10156
6	61	8737
7	62	7700
8	62	6868
9	62	6202
10	63	5664
11	63	5219
12	63	4835
13	64	4512
14	64	4231
15	64	3982
16	65	3761
17	65	3556
18	65	3383
19	65	3226
20	66	3084
21	66	2954
22	66	2838
23	67	2730
24	67	2630
25	67	2538
26	68	2452
27	68	2372
28	68	2298
29	68	2230
30	69	2165
31	69	2106
32	69	2050
33	70	1996
34	70	1944
35	70	1896
36	71	1851
37	71	1810
38	71	1771
39	72	1732
40	72	1698
41	72	1662
42	73	1630
43	73	1598
44	73	1567
45	74	1538
46	74	1512
47	74	1485
48	75	1459
49	75	1435
50	75	1412
51	76	1389
52	76	1368
53	76	1347
54	77	1326
55	77	1305
56	77	1286
57	78	1270
58	78	1254
59	78	1237
60	79	1220
61	79	1204
62	80	1190
63	80	1175
64	80	1162
65	81	1150
66	81	1135
67	81	1122
68	82	1108
69	82	1095
70	82	1083
71	83	1072
72	83	1061
73	83	1050
74	84	1041
75	84	1031
76	85	1021
77	85	1013
78	85	1000
79	86	991
80	86	983
81	87	975
82	87	965
83	87	956
84	88	949
85	88	940
86	88	933
87	89	926
88	89	919
89	90	911
90	90	904
91	90	896
92	91	889
93	91	883
94	92	876
95	92	869
96	92	862
97	93	856
98	93	851
99	93	844
100	94	838
101	94	832
102	94	826
103	95	820
104	95	814
105	96	809
106	96	803
107	96	798
108	96	792
109	97	786
110	97	781
111	97	776
112	98	770
113	98	766
114	98	761
115	99	757
116	99	752
117	100	748
118	100	743
119	100	738
120	101	734
121	101	730
122	101	726
123	102	722
124	102	717
125	102	713
126	103	709
127	103	705
128	103	701
129	104	697
130	104	694
131	104	690
132	105	686
133	105	683
134	106	680
135	106	676
136	106	673
137	107	669
138	107	666
139	107	662
140	108	659
141	108	655
142	108	652
143	109	648
144	109	645
145	109	642
146	110	640
147	110	637
148	111	634
149	111	631
150	111	628
151	112	624
152	112	621
153	112	618
154	112	615
155	113	612
156	113	609
157	113	607
158	114	604
159	114	601
160	115	599
161	115	597
162	115	595
163	116	592
164	116	589
165	116	587
166	117	585
167	117	582
168	118	580
169	118	578
170	118	576
171	119	573
172	119	571
173	119	568
174	120	566
175	120	563
176	120	561
177	121	559
178	121	557
179	121	554
180	122	552
181	122	550
182	122	547
183	123	545
184	123	543
185	123	541
186	124	539
187	124	537
188	124	536
189	125	534
190	125	531
191	125	529
192	126	527
193	126	526
194	126	524
195	127	522
196	127	520
197	128	518
198	128	516
199	128	515
200	129	513
201	129	511
202	129	509
203	130	507
204	130	505
205	130	503
206	131	501
207	131	500
208	131	498
209	132	497
210	132	495
211	132	494
212	133	492
213	133	491
214	133	489
215	134	487
216	134	485
217	135	484
218	135	482
219	135	481
220	135	479
221	136	477
222	136	476
223	137	474
224	137	473
225	137	471
226	138	470
227	138	469
228	138	467
229	139	465
230	139	464
231	139	462
232	140	461
233	140	460
234	141	459
235	141	457
236	141	456
237	142	454
238	142	453
239	142	452
240	143	450
241	143	449
242	143	447
243	143	446
244	144	444
245	144	443
246	144	441
247	145	440
248	145	438
249	145	437
250	146	436
251	146	435
252	147	434
253	147	432
254	147	431
255	148	430
256	148	428
257	148	427
258	149	427
259	149	425
260	149	424
261	150	423
262	150	422
263	151	421
264	151	420
265	151	418
266	152	417
267	152	416
268	153	415
269	153	414
270	153	413
271	153	412
272	154	410
273	154	409
274	154	408
275	155	407
276	155	406
277	156	405
278	156	404
279	156	403
280	157	402
281	157	401
282	157	400
283	158	398
284	158	398
285	158	396
286	159	395
287	159	394
288	160	394
289	160	393
290	160	391
291	161	390
292	161	389
293	161	388
294	162	387
295	162	386
296	162	385
297	163	384
298	163	382
299	163	381
300	164	380
301	164	379
302	164	378
303	164	377
304	165	376
305	165	375
306	165	374
307	165	372
308	166	371
309	166	370
310	166	369
311	167	368
312	167	367
313	167	366
314	168	365
315	168	364
316	168	363
317	168	362
318	169	361
319	169	360
320	169	358
321	169	357
322	170	356
323	170	355
324	170	354
325	171	353
326	171	352
327	171	351
328	172	350
329	172	349
330	172	348
331	172	347
332	173	346
333	173	345
334	173	344
335	174	343
336	174	343
337	174	342
338	174	341
339	175	340
340	175	339
341	175	338
342	176	337
343	176	336
344	176	335
345	176	334
346	177	333
347	177	332
348	177	331
349	178	330
350	178	329
351	178	328
352	178	327
353	179	327
354	179	326
355	179	325
356	180	324
357	180	323
358	180	322
359	180	321
360	181	320
361	181	319
362	181	319
363	182	318
364	182	317
365	182	316
366	182	315
367	183	314
368	183	313
369	183	312
370	184	312
371	184	311
372	184	310
373	184	309
374	185	308
375	185	307
376	185	307
377	186	306
378	186	305
379	186	304
380	186	303
381	187	302
382	187	302
383	187	301
384	188	300
385	188	299
386	188	298
387	188	297
388	189	297
389	189	296
390	189	295
391	190	294
392	190	294
393	190	293
394	190	292
395	191	291
396	191	290
397	191	290
398	192	289
399	192	288
400	192	287
401	192	286
402	193	286
403	193	285
404	193	284
405	194	283
406	194	283
407	194	282
408	194	281
409	195	280
410	195	280
411	195	279
412	196	278
413	196	277
414	196	277
415	196	276
416	197	275
417	197	274
418	197	274
419	198	273
420	198	272
421	198	272
422	198	271
423	199	270
424	199	269
425	199	269
426	200	268
427	200	267
428	200	267
429	200	266
430	201	265
431	201	264
432	201	264
433	202	263
434	202	262
435	202	262
436	202	261
437	203	260
438	203	259
439	203	259
440	203	258
441	204	257
442	204	257
443	204	256
444	205	255
445	205	254
446	205	254
447	205	253
448	206	252
449	206	252
450	206	251
451	206	250
452	207	250
453	207	249
454	207	248
455	207	248
456	208	247
457	208	246
458	208	246
459	208	245
460	209	244
461	209	244
462	209	243
463	210	242
464	210	242
465	210	241
466	211	241
467	211	240
468	211	239
469	212	239
470	212	238
471	212	237
472	212	237
473	213	236
474	213	235
475	213	235
476	214	234
477	214	234
478	214	233
479	214	232
480	215	232
481	215	231
482	215	230
483	216	230
484	216	229
485	216	229
486	216	228
487	217	227
488	217	227
489	217	226
490	218	226
491	218	225
492	218	224
493	218	224
494	219	223
495	219	222
496	219	222
497	220	221
498	220	221
499	220	220
500	220	220
501	221	219
502	221	218
503	221	218
504	221	217
505	222	216
506	222	216
507	222	215
508	223	215
509	223	214
510	223	214
511	223	213
512	224	212
513	224	212
514	224	211
515	225	211
516	225	210
517	225	210
518	226	209
519	226	208
520	226	208
521	226	207
522	227	207
523	227	206
524	227	206
525	228	205
526	228	204
527	228	204
528	229	203
529	229	203
530	229	202
531	229	202
532	230	201
533	230	201
534	230	200
535	231	200
536	231	199
537	232	199
538	232	198
539	232	198
540	232	197
541	233	197
542	233	196
543	233	195
544	234	195
545	234	194
546	234	194
547	234	193
548	235	193
549	235	192
550	235	192
551	236	191
552	236	191
553	236	190
554	236	189
555	237	189
556	237	188
557	237	188
558	238	187
559	238	187
560	238	186
561	238	186
562	239	185
563	239	185
564	239	184
565	240	184
566	240	183
567	240	183
568	240	182
569	241	181
570	241	181
571	241	180
572	242	180
573	242	179
574	242	179
575	243	178
576	243	178
577	243	177
578	243	177
579	244	176
580	244	176
581	244	175
582	245	175
583	245	174
584	245	174
585	245	173
586	246	173
587	246	172
588	246	172
589	247	171
590	247	171
591	247	170
592	247	170
593	248	169
594	248	169
595	248	168
596	249	168
597	249	167
598	249	167
599	249	166
600	250	166
601	250	165
602	250	165
603	251	164
604	251	164
605	251	163
606	251	163
607	252	162
608	252	162
609	252	161
610	253	161
611	253	160
612	253	160
613	253	159
614	254	159
615	254	158
616	254	158
617	254	157
618	255	157
619	255	156
620	255	156
621	255	155
622	256	155
623	256	154
624	256	154
625	257	153
626	257	153
627	257	152
628	257	152
629	258	151
630	258	151
631	258	150
632	259	150
633	259	149
634	259	149
635	260	148
636	260	148
637	260	147
638	260	147
639	261	146
640	261	146
641	261	145
642	262	145
643	262	145
644	262	144
645	262	144
646	263	143
647	263	143
648	263	142
649	263	142
650	264	141
651	264	141
652	264	140
653	265	140
654	265	139
655	265	139
656	265	138
657	266	138
658	266	137
659	266	137
660	267	136
661	267	136
662	267	136
663	267	135
664	268	135
665	268	134
666	268	134
667	269	133
668	269	133
669	269	132
670	270	132
671	270	132
672	270	131
673	271	131
674	271	130
675	271	130
676	272	129
677	272	129
678	272	128
679	273	128
680	273	128
681	273	127
682	273	127
683	274	126
684	274	126
685	274	125
686	275	125
687	275	124
688	275	124
689	275	123
690	276	123
691	276	123
692	276	122
693	277	122
694	277	121
695	277	121
696	277	120
697	278	120
698	278	119
699	278	119
700	278	118
701	279	118
702	279	118
703	279	117
704	279	117
705	280	116
706	280	116
707	280	115
708	280	115
709	281	114
710	281	114
711	281	113
712	281	113
713	282	112
714	282	112
715	282	112
716	282	111
717	283	111
718	283	110
719	283	110
720	284	109
721	284	109
722	284	109
723	284	108
724	285	108
725	285	107
726	285	107
727	285	106
728	286	106
729	286	105
730	286	105
731	287	105
732	287	104
733	287	104
734	287	103
735	288	103
736	288	102
737	288	102
738	288	102
739	289	101
740	289	101
741	289	100
742	290	100
743	290	99
744	290	99
745	290	99
746	291	98
747	291	98
748	291	97
749	291	97
750	292	96
751	292	96
752	292	96
753	293	95
754	293	95
755	293	94
756	293	94
757	294	93
758	294	93
759	294	93
760	294	92
761	295	92
762	295	91
763	295	91
764	295	90
765	296	90
766	296	90
767	296	89
768	296	89
769	297	88
770	297	88
771	297	87
772	298	87
773	298	87
774	298	86
775	298	86
776	299	85
777	299	85
778	299	84
779	299	84
780	300	84
781	300	83
782	300	83
783	300	82
784	301	82
785	301	82
786	301	81
787	302	81
788	302	80
789	302	80
790	302	80
791	303	79
792	303	79
793	303	78
794	303	78
795	304	77
796	304	77
797	304	77
798	305	76
799	305	76
800	305	75
801	305	75
802	306	75
803	306	74
804	306	74
805	306	73
806	307	73
807	307	73
808	307	72
809	308	72
810	308	71
811	308	71
812	308	71
813	309	70
814	309	70
815	309	69
816	310	69
817	310	69
818	310	68
819	310	68
820	311	67
821	311	67
822	311	67
823	311	66
824	312	66
825	312	65
826	312	65
827	313	65
828	313	64
829	313	64
830	313	63
831	314	63
832	314	63
833	314	62
834	314	62
835	314	61
836	315	61
837	315	60
838	315	60
839	316	60
840	316	59
841	316	59
842	316	59
843	317	58
844	317	58
845	317	57
846	317	57
847	318	57
848	318	56
849	318	56
850	319	55
851	319	55
852	319	55
853	319	54
854	320	54
855	320	53
856	320	53
857	320	53
858	321	52
859	321	52
860	321	51
861	322	51
862	322	51
863	322	50
864	323	50
865	323	50
866	323	49
867	323	49
868	324	48
869	324	48
870	324	48
871	324	47
872	325	47
873	325	46
874	325	46
875	325	46
876	326	45
877	326	45
878	326	44
879	327	44
880	327	44
881	327	43
882	327	43
883	328	43
884	328	42
885	328	42
886	328	41
887	329	41
888	329	41
889	329	40
890	329	40
891	330	39
892	330	39
893	330	39
894	330	38
895	331	38
896	331	38
897	331	37
898	332	37
899	332	36
900	332	36
901	332	36
902	333	35
903	333	35
904	333	35
905	333	34
906	334	34
907	334	33
908	334	33
909	335	33
910	335	32
911	335	32
912	335	32
913	336	31
914	336	31
915	336	30
916	336	30
917	337	30
918	337	29
919	337	29
920	338	29
921	338	28
922	338	28
923	339	27
924	339	27
925	339	27
926	339	26
927	340	26
928	340	26
929	340	25
930	341	25
931	341	24
932	341	24
933	341	24
934	342	23
935	342	23
936	342	23
937	342	22
938	343	22
939	343	21
940	343	21
941	343	21
942	344	20
943	344	20
944	344	20
945	345	19
946	345	19
947	345	18
948	345	18
949	346	18
950	346	17
951	346	17
952	346	17
953	347	16
954	347	16
955	347	16
956	347	15
957	348	15
958	348	14
959	348	14
960	348	14
961	349	13
962	349	13
963	349	13
964	350	12
965	350	12
966	350	11
967	350	11
968	351	11
969	351	10
970	351	10
971	351	10
972	352	9
973	352	9
974	352	9
975	353	8
976	353	8
977	353	7
978	353	7
979	354	7
980	354	6
981	354	6
982	355	6
983	355	5
984	355	5
985	355	5
986	356	4
987	356	4
988	356	3
989	356	3
990	357	3
991	357	2
992	357	2
993	358	2
994	358	1
995	358	1
996	358	1
997	359	0
998	359	0
999	359	0
